Index,No,movie,week_at_Top10
7,8,Bruised,2
8,9,My Christmas Inn,1
9,10,Single All The Way,1
0,1,Red Notice,3
1,2,Bruised,1
2,3,A Castle For Christmas,1
3,4,A Boy Called Christmas,1
4,5,Charlie's Angels,1
5,6,Jack Reacher,1
6,7,Dr. Seuss' The Grinch,3
7,8,How the Grinch Stole Christmas,4
8,9,Pain & Gain,2
9,10,The Princess Switch 3: Romancing the Star,2
0,1,Red Notice,2
1,2,Pain & Gain,1
2,3,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),1
3,4,The Princess Switch 3: Romancing the Star,1
4,5,Love Hard,3
5,6,Dr. Seuss' The Grinch,2
6,7,How the Grinch Stole Christmas,3
7,8,Snowbound for Christmas,1
8,9,The Harder They Fall,3
9,10,Indecent Proposal,1
0,1,Red Notice,1
1,2,Love Hard,2
2,3,The Harder They Fall,2
3,4,How the Grinch Stole Christmas,2
4,5,Father Christmas Is Back,1
5,6,Dr. Seuss' The Grinch,1
6,7,Army of Thieves,3
7,8,Dr. Seuss' The Lorax,2
8,9,Richard Jewell,1
9,10,Hustlers,1
0,1,The Harder They Fall,1
1,2,Army of Thieves,2
2,3,Love Hard,1
3,4,The Hitman's Wife's Bodyguard,3
4,5,Dora and the Lost City of Gold,1
5,6,Black and Blue,2
6,7,The 40-Year-Old Virgin,1
7,8,Dr. Seuss' The Lorax,1
8,9,How the Grinch Stole Christmas,1
9,10,First Daughter,1
0,1,The Hitman's Wife's Bodyguard,2
1,2,Army of Thieves,1
2,3,Hypnotic,1
3,4,Black and Blue,1
4,5,Night Teeth,2
5,6,The Forgotten Battle,3
6,7,Halloween,1
7,8,Minions,4
8,9,The Dare,1
9,10,Hubie Halloween,1
0,1,The Forgotten Battle,2
1,2,Night Teeth,1
2,3,Hellboy,1
3,4,The Hitman's Wife's Bodyguard,1
4,5,Deep Impact,1
5,6,The General's Daughter,1
6,7,Minions,3
7,8,Despicable Me 2,3
8,9,Despicable Me,2
9,10,The Trip,1
0,1,The Forgotten Battle,1
1,2,Minions,2
2,3,Despicable Me 2,2
3,4,Despicable Me,1
4,5,The Guilty,3
5,6,Dark Shadows,2
6,7,Heat,3
7,8,The Ice Road,3
8,9,Security,1
9,10,The Adventures of Sharkboy and Lavagirl,1
0,1,The Guilty,2
1,2,Heat,2
2,3,Dark Shadows,1
3,4,Abominable,2
4,5,There's Someone Inside Your House,1
5,6,Ride Along 2,1
6,7,Knock Knock,1
7,8,Minions,1
8,9,Britney Vs Spears,2
9,10,Despicable Me 2,1
0,1,The Guilty,1
1,2,Britney Vs Spears,1
2,3,The Ice Road,2
3,4,The Starling,2
4,5,My Little Pony: A New Generation,2
5,6,Abominable,1
6,7,No One Gets Out Alive,1
7,8,The Poison Rose,1
8,9,The Wolf of Wall Street,3
9,10,Heat,1
0,1,The Ice Road,1
1,2,Intrusion,1
2,3,The Starling,1
3,4,Fast & Furious Presents: Hobbs & Shaw,2
4,5,Doctor Sleep,1
5,6,The Wolf of Wall Street,2
6,7,My Little Pony: A New Generation,1
7,8,Crawl,1
8,9,Zombieland: Double Tap,2
9,10,Kate,3
0,1,Fast & Furious Presents: Hobbs & Shaw,1
1,2,The Wolf of Wall Street,1
2,3,Kate,2
3,4,The Good Liar,1
4,5,Schumacher,1
5,6,Zombieland: Double Tap,1
6,7,Code 8,1
7,8,Stardust,1
8,9,The Guide to the Perfect Family,2
9,10,Firedrake the Silver Dragon,1
0,1,Kate,1
1,2,Worth,1
2,3,Edge of Tomorrow,2
3,4,The Guide to the Perfect Family,1
4,5,Afterlife of the Party,2
5,6,Straight Outta Compton,1
6,7,Yesterday,1
7,8,The Last Castle,1
8,9,The Lego Movie,1
9,10,The Dead Don't Die,2
0,1,He's All That,2
1,2,SAS: Rise of the Black Swan,2
2,3,Romeo Must Die,1
3,4,Edge of Tomorrow,1
4,5,The Dead Don't Die,1
5,6,Once Upon a Time in Hollywood,2
6,7,Afterlife of the Party,1
7,8,Untold: Crime & Penalties,1
8,9,The Equalizer,1
9,10,Double Jeopardy,1
0,1,He's All That,1
1,2,Sweet Girl,2
2,3,Once Upon a Time in Hollywood,1
3,4,SAS: Rise of the Black Swan,1
4,5,Rocketman,1
5,6,Joker,2
6,7,The Loud House Movie,2
7,8,The Witcher: Nightmare of the Wolf,1
8,9,Vivo,4
9,10,"Bob Ross: Happy Accidents, Betrayal & Greed",1
0,1,Sweet Girl,1
1,2,Joker,1
2,3,The Kissing Booth 3,2
3,4,Beckett,2
4,5,Vivo,3
5,6,The Girl Next Door,1
6,7,Wrath of Man,5
7,8,The Loud House Movie,1
8,9,The Vault,4
9,10,The Hustle,3
0,1,The Kissing Booth 3,1
1,2,The Hustle,2
2,3,Vivo,2
3,4,Beckett,1
4,5,Inside Man,2
5,6,Wrath of Man,4
6,7,The Vault,3
7,8,Aftermath,2
8,9,Untold: Malice at the Palace,1
9,10,Anna,3
0,1,The Vault,2
1,2,Wrath of Man,3
2,3,Anna,2
3,4,Inside Man,1
4,5,Resort to Love,2
5,6,Aftermath,1
6,7,The Angry Birds Movie 2,2
7,8,Ma,1
8,9,Vivo,1
9,10,The Hustle,1
0,1,Wrath of Man,2
1,2,The Angry Birds Movie 2,1
2,3,Blood Red Sky,2
3,4,Anna,1
4,5,Resort to Love,1
5,6,The Last Letter From Your Lover,2
6,7,The Vault,1
7,8,Mimi,1
8,9,Space Jam,2
9,10,Kingdom: Ashin of the North,1
0,1,Wrath of Man,1
1,2,Blood Red Sky,1
2,3,Gunpowder Milkshake,2
3,4,Cosmic Sin,1
4,5,Trollhunters: Rise of the Titans,1
5,6,Space Jam,1
6,7,The Last Letter From Your Lover,1
7,8,It Chapter Two,2
8,9,The Secret Life of Pets 2,4
9,10,Fear Street Part 3: 1666,2
0,1,Gunpowder Milkshake,1
1,2,It Chapter Two,1
2,3,Fear Street Part 3: 1666,1
3,4,The Secret Life of Pets 2,3
4,5,Fear Street Part 2: 1978,2
5,6,Major Grom: Plague Doctor,2
6,7,Fear Street Part 1: 1994,3
7,8,John Wick: Chapter 3 - Parabellum,3
8,9,This Little Love of Mine,1
9,10,Ghost Rider,1
0,1,John Wick: Chapter 3 - Parabellum,2
1,2,The Secret Life of Pets 2,2
2,3,The Impossible,1
3,4,Major Grom: Plague Doctor,1
4,5,Fear Street Part 1: 1994,2
5,6,Fear Street Part 2: 1978,1
6,7,Fatherhood,2
7,8,Little Fockers,1
8,9,Disturbia,2
9,10,Kung Fu Panda 3,1
